Date,Volume
02-01-2019,235334
03-01-2019,244542
04-01-2019,316063
07-01-2019,204679
08-01-2019,221915
09-01-2019,245969
10-01-2019,239920
11-01-2019,210644
14-01-2019,221893
15-01-2019,242065
16-01-2019,181387
17-01-2019,191979
18-01-2019,225565
21-01-2019,318850
23-01-2019,217130
24-01-2019,225765
25-01-2019,303837
28-01-2019,243070
29-01-2019,213607
30-01-2019,272109
31-01-2019,224751
01-02-2019,200004
04-02-2019,159557
05-02-2019,129013
06-02-2019,137247
07-02-2019,166761
08-02-2019,150611
12-02-2019,146448
13-02-2019,213962
14-02-2019,228458
15-02-2019,200282
18-02-2019,348636
20-02-2019,246722
21-02-2019,285810
22-02-2019,241803
25-02-2019,181778
26-02-2019,185564
27-02-2019,198038
28-02-2019,252235
01-03-2019,343472
04-03-2019,268391
05-03-2019,216929
06-03-2019,192932
07-03-2019,257922
08-03-2019,283843
11-03-2019,196857
12-03-2019,203894
13-03-2019,214238
14-03-2019,248206
15-03-2019,234648
18-03-2019,176492
19-03-2019,206904
20-03-2019,370397
21-03-2019,332611
22-03-2019,271383
25-03-2019,251981
26-03-2019,267173
27-03-2019,206263
28-03-2019,426819
29-03-2019,270179
01-04-2019,236657
02-04-2019,196403
03-04-2019,190367
04-04-2019,262537
05-04-2019,231451
08-04-2019,207572
09-04-2019,200341
10-04-2019,218880
11-04-2019,324740
12-04-2019,192493
15-04-2019,232989
16-04-2019,326514
17-04-2019,223357
18-04-2019,229629
22-04-2019,136438
23-04-2019,280344
24-04-2019,246046
25-04-2019,237154
26-04-2019,278887
29-04-2019,208956
30-04-2019,239444
01-05-2019,275425
02-05-2019,282497
03-05-2019,280323
06-05-2019,244342
07-05-2019,251087
08-05-2019,302694
09-05-2019,306546
10-05-2019,238643
13-05-2019,379440
14-05-2019,222050
15-05-2019,247522
16-05-2019,282065
17-05-2019,264569
20-05-2019,212182
21-05-2019,213168
22-05-2019,191366
23-05-2019,330160
24-05-2019,218714
27-05-2019,362163
29-05-2019,189694
30-05-2019,284019
31-05-2019,341175
03-06-2019,363396
04-06-2019,319959
05-06-2019,413470
06-06-2019,263086
07-06-2019,331289
10-06-2019,228033
11-06-2019,215146
12-06-2019,234455
13-06-2019,204827
14-06-2019,358448
17-06-2019,238707
18-06-2019,376267
19-06-2019,332611
20-06-2019,542895
21-06-2019,518888
24-06-2019,375145
25-06-2019,643590
26-06-2019,421948
27-06-2019,336359
28-06-2019,306620
01-07-2019,389761
02-07-2019,383253
03-07-2019,419609
04-07-2019,577376
08-07-2019,318692
09-07-2019,287176
10-07-2019,443496
11-07-2019,400086
12-07-2019,284967
15-07-2019,243376
16-07-2019,334818
17-07-2019,358172
18-07-2019,481325
19-07-2019,530022
22-07-2019,255354
23-07-2019,386682
24-07-2019,318164
25-07-2019,489392
